date,MortalityEveryone,MortalityFemales,MortalityMales,popshare-25,popshare25-44,popshare45-54,popshare55-64,popshare65-74,popshare75+,Rate85up,Rate75-84,Rate65-74,Rate55-64,Rate45-54,Rate25-44,Rate-25,Normalized85up,Normalized75-84,Normalized65-74,Normalized55-64,Normalized45-54,Normalized25-44,Normalized-25,Share-25,Share25-44,Share45-54,Share55-64,Share65-74,Share75-84,Share85up
1983/1/1 00:00,913.7,838.5,993.2,0.386576882,0.297179169,0.095625393,0.094583442,0.070208374,0.05582674,15460.5,6421.1,2890.2,1306.7,536.3,155.6,104.5,0.788861392,0.774232833,0.77603845,0.766662755,0.713829362,0.652958456,0.650280025,0.047866953,0.05355138,0.059376456,0.143096205,0.234934511,0.268035723,0.192830233
1984/1/1 00:00,904.4,834.4,978.4,0.380130228,0.3029164,0.09488479,0.093904569,0.070474898,0.057689114,15395.8,6364.3,2866.3,1297.1,523.6,157.4,103,0.785560119,0.767384096,0.769621137,0.761030275,0.696925329,0.66051196,0.640945862,0.046507032,0.055156276,0.057475131,0.140903878,0.233685027,0.270138459,0.195877254
1985/1/1 00:00,906.6,838.9,978.2,0.373896951,0.308343172,0.094364558,0.093002477,0.070833005,0.059559838,15710.8,6398.6,2862.9,1294.2,519.3,160.3,102.9,0.801632778,0.771519865,0.768708214,0.759328796,0.691201917,0.672681494,0.640323584,0.045166408,0.056396062,0.05590096,0.13730565,0.231325128,0.272640479,0.20084498
1986/1/1 00:00,896.5,832.2,964.4,0.367486268,0.31383797,0.094337558,0.091568766,0.071348796,0.061420641,15589.6,6300.7,2833.2,1268.7,508.2,168.4,104.3,0.795448631,0.75971544,0.760733561,0.744367519,0.676427526,0.706672262,0.64903547,0.045164701,0.060285623,0.054698933,0.132532616,0.230620307,0.273183079,0.203040239
1987/1/1 00:00,886,826.4,948.8,0.361823186,0.317939769,0.095281985,0.089732399,0.071893717,0.063328944,15559.5,6231.9,2789.4,1256.6,501.9,170.2,102,0.793912799,0.751419787,0.748972961,0.737268247,0.66804206,0.714225766,0.634723086,0.043633022,0.061772985,0.054593672,0.128724645,0.228935023,0.275198357,0.206868197
1988/1/1 00:00,886.2,830.7,944.5,0.356954787,0.320089685,0.097891094,0.087936025,0.072046449,0.065081961,15933.1,6262.1,2771.7,1253.8,490.5,174.4,102.9,0.812975483,0.755061193,0.74422039,0.73562544,0.652868362,0.731850608,0.640323584,0.0430955,0.063003258,0.054184527,0.124423028,0.225343739,0.277635737,0.212043456
1989/1/1 00:00,870.6,818.4,925.6,0.352588382,0.322470736,0.099728803,0.08599533,0.072323784,0.066892966,15411,6083.4,2693.8,1224.3,480.1,177.6,101.7,0.786335689,0.733514198,0.723303708,0.718317296,0.639025689,0.74527906,0.632856254,0.042943715,0.065773186,0.054995522,0.120930998,0.223776614,0.278640072,0.212678554
1990/1/1 00:00,863.1,811.3,917.5,0.349891245,0.323777959,0.100660604,0.084816298,0.072494544,0.06835935,15327.4,6007.2,2648.6,1196.9,473.4,178.2,99.3,0.782070056,0.72432628,0.711167199,0.702241258,0.630107813,0.747796895,0.617921593,0.042100329,0.066863148,0.055205977,0.117617106,0.222460894,0.279939194,0.215551769
1991/1/1 00:00,857.2,808.4,908.5,0.345944661,0.325184749,0.102020424,0.083156275,0.07328276,0.070411131,14969.6,5881.6,2616.4,1178.7,467.4,179,96.8,0.763813557,0.709181889,0.702521279,0.691563013,0.622121656,0.751154008,0.602364655,0.040981914,0.068102685,0.055623415,0.114347058,0.220618589,0.280011505,0.220049338
1992/1/1 00:00,847.8,802.1,895.7,0.34337589,0.321348457,0.107353952,0.08182981,0.074040348,0.072051542,14705.8,5777.7,2585.3,1147.7,453.9,180.5,90.7,0.750353343,0.696654006,0.694170717,0.673374795,0.604152802,0.757448594,0.564405725,0.03867094,0.068840828,0.057468861,0.110769241,0.219669583,0.280312721,0.224049957
